record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_dlc14_skill_node_def_master_campaign_02
skill_level,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,2,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_passive_stimulate_growth|2|||
skill_level,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,3,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_passive_stimulate_growth|3|||
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,1,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_buff,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] action: Growth is modified by an additional %n,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] (Constant Local Effect)\\nIncreases growth in the local province (reduces in enemy provinces).,character_to_character_own,10,campaign,8,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_buff|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,1,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative,Growth: %+n,,character_to_province_enemy,-10,campaign,0,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative|1|character_to_province_enemy
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,1,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive,Growth: %+n,,character_to_province_own,10,campaign,0,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive|1|character_to_province_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,2,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_buff,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] action: Growth is modified by an additional %n,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] (Constant Local Effect)\\nIncreases growth in the local province (reduces in enemy provinces).,character_to_character_own,20,campaign,8,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_buff|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,2,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative,Growth: %+n,,character_to_province_enemy,-20,campaign,0,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative|2|character_to_province_enemy
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,2,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive,Growth: %+n,,character_to_province_own,20,campaign,0,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive|2|character_to_province_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,3,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_buff,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] action: Growth is modified by an additional %n,[[col:yellow]]{{tr:agent_action_name_stimulate_growth}}[[/col]] (Constant Local Effect)\\nIncreases growth in the local province (reduces in enemy provinces).,character_to_character_own,30,campaign,8,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_buff|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Master,Master,hero,wh2_dlc14_def_master,champion,champion,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_hag_graef_separatists|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_dlc14_skill_node_set_def_master,,1,champion,false,false,,,,wh2_dlc14_skill_node_def_master_campaign_02,wh2_main_skill_all_hero_passive_stimulate_growth,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",campaign_growth.png,1,5,0,0,true,0,3,3,{{tr:agent_action_name_stimulate_growth}},"All will listen, for the news will either be dire or wonderful.",,,,,,wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative,Growth: %+n,,character_to_province_enemy,-30,campaign,0,true,growth.png,growth.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_passive_stimulate_growth|wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative|3|character_to_province_enemy
